Date,Product_Category,Quantity,Unit_Price,Total_Revenue,Customer_Age,Payment_Method,Region
2025-01-05 09:00:00,Electronics,8,331.91,2655.28,23.0,Credit Card,South
2025-01-05 10:00:00,Clothing,6,478.74,2872.44,37.0,Credit Card,South
2025-01-05 11:00:00,Books,5,43.79,,69.0,Credit Card,East
2025-01-05 12:00:00,Electronics,5,37.96,189.8,20.0,Debit Card,North
2025-01-05 13:00:00,Electronics,6,148.27,889.62,34.0,Debit Card,East
2025-01-05 14:00:00,Electronics,7,138.24,967.68,66.0,PayPal,East
2025-01-05 15:00:00,Electronics,1,131.02,131.02,29.0,Debit Card,North
2025-01-05 16:00:00,Beauty,9,,4086.54,65.0,Cash,East
2025-01-05 17:00:00,Books,3,132.28,396.84,64.0,PayPal,South
2025-01-05 18:00:00,Home & Kitchen,4,143.26,573.04,62.0,Credit Card,West
2025-01-05 19:00:00,Books,1,382.11,382.11,18.0,Cash,West
2025-01-05 20:00:00,Books,3,230.37,691.11,34.0,Cash,East
2025-01-05 21:00:00,Electronics,2,390.59,781.18,20.0,PayPal,North
2025-01-05 22:00:00,Books,2,42.03,84.06,43.0,Cash,North
2025-01-05 23:00:00,Clothing,1,248.91,248.91,32.0,PayPal,South
2025-01-06 00:00:00,Books,8,26.47,211.76,53.0,Cash,North
2025-01-06 01:00:00,Books,3,40.7,122.1,49.0,Debit Card,North
2025-01-06 02:00:00,Clothing,3,454.15,1362.45,49.0,Credit Card,South
2025-01-06 03:00:00,Electronics,6,78.23,469.38,21.0,Cash,East
2025-01-06 04:00:00,Electronics,8,270.89,2167.12,35.0,PayPal,West
2025-01-06 05:00:00,Clothing,9,211.44,1902.96,66.0,PayPal,South
2025-01-06 06:00:00,Books,9,180.2,1621.8,36.0,Cash,East
2025-01-06 07:00:00,Books,4,450.92,1803.68,,Credit Card,South
2025-01-06 08:00:00,Electronics,5,20.69,103.45,69.0,PayPal,East
2025-01-06 09:00:00,Clothing,2,335.26,670.52,52.0,Credit Card,South
2025-01-06 10:00:00,Clothing,9,482.06,4338.54,57.0,PayPal,East
2025-01-06 11:00:00,Electronics,8,284.48,2275.84,31.0,PayPal,South
2025-01-06 12:00:00,Electronics,3,469.04,1407.12,50.0,Cash,East
2025-01-06 13:00:00,Clothing,9,35.61,320.49,31.0,Credit Card,South
2025-01-06 14:00:00,Beauty,3,215.21,645.63,51.0,PayPal,West
2025-01-06 15:00:00,Clothing,9,137.48,1237.32,21.0,Credit Card,West
2025-01-06 16:00:00,Clothing,2,368.1,736.2,41.0,Cash,North
2025-01-06 17:00:00,Home & Kitchen,9,490.84,4417.56,46.0,Debit Card,East
2025-01-06 18:00:00,Clothing,8,135.7,1085.6,36.0,Debit Card,South
2025-01-06 19:00:00,Beauty,9,330.55,2974.95,23.0,,East
2025-01-06 20:00:00,Beauty,5,107.07,535.35,50.0,Cash,West
2025-01-06 21:00:00,Electronics,2,287.01,574.02,66.0,Credit Card,East
2025-01-06 22:00:00,Clothing,8,237.33,1898.64,57.0,Credit Card,South
2025-01-06 23:00:00,Clothing,6,486.28,2917.68,36.0,PayPal,East
2025-01-07 00:00:00,Electronics,8,308.18,2465.44,18.0,Cash,South
2025-01-07 01:00:00,Electronics,5,181.26,906.3,22.0,Debit Card,West
2025-01-07 02:00:00,Home & Kitchen,2,65.91,131.82,44.0,Credit Card,West
2025-01-07 03:00:00,Clothing,6,84.11,504.66,33.0,Debit Card,West
2025-01-07 04:00:00,Electronics,5,120.41,602.05,23.0,PayPal,North
2025-01-07 05:00:00,Electronics,5,132.97,664.85,57.0,PayPal,West
2025-01-07 06:00:00,Beauty,1,426.8,426.8,30.0,Credit Card,East
2025-01-07 07:00:00,Electronics,2,285.0,570.0,65.0,Credit Card,North
2025-01-07 08:00:00,Electronics,8,266.46,2131.68,52.0,PayPal,West
2025-01-07 09:00:00,Clothing,3,66.24,198.72,36.0,PayPal,East
2025-01-07 10:00:00,Beauty,3,431.47,1294.41,29.0,Credit Card,East
2025-01-07 11:00:00,Electronics,8,364.18,2913.44,33.0,PayPal,East
2025-01-07 12:00:00,Home & Kitchen,8,43.16,345.28,60.0,Cash,South
2025-01-07 13:00:00,Books,2,356.84,713.68,27.0,Cash,North
2025-01-07 14:00:00,Electronics,8,276.33,2210.64,42.0,Debit Card,East
2025-01-07 15:00:00,Home & Kitchen,1,50.05,50.05,,,South
2025-01-07 16:00:00,Clothing,6,234.57,1407.42,48.0,Credit Card,West
2025-01-07 17:00:00,Home & Kitchen,8,247.5,1980.0,21.0,Cash,East
2025-01-07 18:00:00,Home & Kitchen,3,91.23,273.69,61.0,PayPal,South
2025-01-07 19:00:00,Clothing,8,8800.0,70400.0,40.0,Credit Card,East
2025-01-07 20:00:00,Electronics,1,426.49,426.49,19.0,Credit Card,North
2025-01-07 21:00:00,Books,9,337.82,3040.38,39.0,PayPal,North
2025-01-07 22:00:00,Clothing,9,236.52,2128.68,68.0,Credit Card,West
2025-01-07 23:00:00,Electronics,5,211.77,1058.85,54.0,Credit Card,East
2025-01-08 00:00:00,Electronics,4,328.98,1315.92,25.0,Credit Card,South
2025-01-08 01:00:00,Home & Kitchen,6,277.26,1663.56,24.0,Credit Card,West
2025-01-08 02:00:00,Home & Kitchen,7,40.51,283.57,31.0,PayPal,East
2025-01-08 03:00:00,Electronics,5,,1305.65,20.0,PayPal,West
2025-01-08 04:00:00,Clothing,9,405.14,3646.26,67.0,PayPal,South
2025-01-08 05:00:00,Electronics,3,235.03,,33.0,Credit Card,West
2025-01-08 06:00:00,Home & Kitchen,7,35.46,248.22,36.0,Credit Card,West
2025-01-08 07:00:00,Electronics,5,395.28,1976.4,68.0,PayPal,West
2025-01-08 08:00:00,Home & Kitchen,7,108.67,760.69,35.0,PayPal,East
2025-01-08 09:00:00,Clothing,2,136.72,273.44,69.0,PayPal,South
2025-01-08 10:00:00,Beauty,4,90.71,362.84,33.0,Credit Card,North
2025-01-08 11:00:00,Electronics,2,171.81,343.62,25.0,Debit Card,East
2025-01-08 12:00:00,Clothing,7,380.81,2665.67,50.0,Credit Card,North
2025-01-08 13:00:00,Electronics,2,264.5,529.0,66.0,PayPal,North
2025-01-08 14:00:00,Beauty,1,110.39,110.39,29.0,,East
2025-01-08 15:00:00,Books,9,440.14,3961.26,28.0,PayPal,East
2025-01-08 16:00:00,Electronics,1,441.0,441.0,,,South
2025-01-08 17:00:00,Home & Kitchen,8,436.58,3492.64,44.0,PayPal,South
2025-01-08 18:00:00,Books,2,127.01,254.02,29.0,Cash,West
2025-01-08 19:00:00,Home & Kitchen,8,231.11,1848.88,34.0,Credit Card,North
2025-01-08 20:00:00,Clothing,3,492.64,1477.92,23.0,Credit Card,South
2025-01-08 21:00:00,Electronics,6,,2329.74,50.0,Credit Card,West
2025-01-08 22:00:00,Electronics,3,23.31,69.93,22.0,Cash,South
2025-01-08 23:00:00,Books,7,41.95,293.65,45.0,Credit Card,East
2025-01-09 00:00:00,Beauty,9,237.33,2135.97,31.0,Debit Card,South
2025-01-09 01:00:00,Home & Kitchen,2,455.52,,22.0,PayPal,North
2025-01-09 02:00:00,Clothing,5,273.96,1369.8,50.0,Debit Card,South
2025-01-09 03:00:00,Clothing,6,253.93,1523.58,67.0,Debit Card,North
2025-01-09 04:00:00,Home & Kitchen,4,61.68,246.72,65.0,PayPal,East
2025-01-09 05:00:00,Books,4,331.82,1327.28,58.0,Credit Card,North
2025-01-09 06:00:00,Books,4,412.83,1651.32,36.0,Credit Card,South
2025-01-09 07:00:00,Books,2,196.41,392.82,39.0,Credit Card,West
2025-01-09 08:00:00,Home & Kitchen,4,390.05,1560.2,22.0,Cash,East
2025-01-09 09:00:00,Electronics,1,,482.59,19.0,Credit Card,South
2025-01-09 10:00:00,Electronics,6,109.85,659.1,47.0,Credit Card,East
2025-01-09 11:00:00,Books,1,266.43,266.43,64.0,PayPal,East
2025-01-09 12:00:00,Home & Kitchen,6,150.7,904.2,56.0,Debit Card,South
2025-01-09 13:00:00,Electronics,1,398.5,398.5,21.0,Credit Card,South
2025-01-09 14:00:00,Electronics,6,293.02,1758.12,50.0,Credit Card,West
2025-01-09 15:00:00,Home & Kitchen,8,320.95,2567.6,30.0,Credit Card,East
2025-01-09 16:00:00,Electronics,2,400.98,801.96,37.0,Debit Card,East
2025-01-09 17:00:00,Electronics,2,204.03,408.06,24.0,PayPal,South
2025-01-09 18:00:00,Clothing,4,458.39,1833.56,32.0,Credit Card,North
2025-01-09 19:00:00,Home & Kitchen,3,271.18,813.54,40.0,Credit Card,South
2025-01-09 20:00:00,Home & Kitchen,4,87.4,349.6,31.0,Credit Card,East
2025-01-09 21:00:00,Electronics,7,350.99,2456.93,40.0,Credit Card,South
2025-01-09 22:00:00,Home & Kitchen,1,398.7,398.7,36.0,Debit Card,West
2025-01-09 23:00:00,Electronics,6,165.21,991.26,46.0,Cash,North
2025-01-10 00:00:00,Clothing,3,430.02,1290.06,37.0,PayPal,South
2025-01-10 01:00:00,Home & Kitchen,7,454.01,3178.07,46.0,Cash,West
2025-01-10 02:00:00,Home & Kitchen,2,145.68,291.36,41.0,Credit Card,East
2025-01-10 03:00:00,Books,2,491.93,983.86,35.0,Cash,South
2025-01-10 04:00:00,Home & Kitchen,4,78.95,315.8,,Cash,East
2025-01-10 05:00:00,Home & Kitchen,1,108.99,108.99,58.0,Credit Card,West
2025-01-10 06:00:00,Electronics,3,,300.81,25.0,Cash,East
2025-01-10 07:00:00,Clothing,9,448.05,4032.45,43.0,Credit Card,West
2025-01-10 08:00:00,Electronics,7,330.6,2314.2,,Credit Card,West
2025-01-10 09:00:00,Electronics,7,84.53,591.71,27.0,Credit Card,West
2025-01-10 10:00:00,Beauty,4,225.76,903.04,34.0,PayPal,South
2025-01-10 11:00:00,Clothing,2,311.5,623.0,19.0,Cash,East
2025-01-10 12:00:00,Books,4,50.9,203.6,23.0,Debit Card,East
2025-01-10 13:00:00,Home & Kitchen,6,,2654.28,22.0,PayPal,North
2025-01-10 14:00:00,Books,3,403.77,1211.31,45.0,Cash,North
2025-01-10 15:00:00,Clothing,1,257.55,257.55,58.0,Cash,North
2025-01-10 16:00:00,Home & Kitchen,8,483.89,3871.12,22.0,Credit Card,North
2025-01-10 17:00:00,Clothing,5,214.7,1073.5,35.0,PayPal,East
2025-01-10 18:00:00,Electronics,5,492.21,2461.05,43.0,Credit Card,West
2025-01-10 19:00:00,Home & Kitchen,4,337.28,1349.12,37.0,PayPal,West
2025-01-10 20:00:00,Electronics,6,320.99,1925.94,58.0,Debit Card,South
2025-01-10 21:00:00,Electronics,3,91.32,273.96,66.0,Credit Card,West
2025-01-10 22:00:00,Home & Kitchen,9,442.14,3979.26,44.0,Cash,East
2025-01-10 23:00:00,Electronics,5,219.47,1097.35,66.0,PayPal,East
2025-01-11 00:00:00,Beauty,3,89.49,268.47,29.0,PayPal,East
2025-01-11 01:00:00,Beauty,1,16.18,16.18,24.0,Credit Card,South
2025-01-11 02:00:00,Beauty,6,284.28,1705.68,20.0,,North
2025-01-11 03:00:00,Clothing,2,268.43,536.86,27.0,Credit Card,West
2025-01-11 04:00:00,Electronics,3,362.48,1087.44,51.0,Credit Card,East
2025-01-11 05:00:00,Beauty,1,446.23,446.23,42.0,Credit Card,East
2025-01-11 06:00:00,Clothing,9,48.91,440.19,,PayPal,North
2025-01-11 07:00:00,Beauty,8,368.43,2947.44,33.0,,East
2025-01-11 08:00:00,Beauty,2,101.83,203.66,19.0,Cash,West
2025-01-11 09:00:00,Books,8,430.51,3444.08,41.0,PayPal,South
2025-01-11 10:00:00,Electronics,9,411.34,3702.06,27.0,PayPal,East
2025-01-11 11:00:00,Clothing,1,274.99,274.99,,PayPal,West
2025-01-11 12:00:00,Books,5,358.02,1790.1,39.0,PayPal,East
2025-01-11 13:00:00,Clothing,8,164.03,,43.0,Debit Card,North
2025-01-11 14:00:00,Electronics,2,240.87,481.74,60.0,Credit Card,East
2025-01-11 15:00:00,Home & Kitchen,4,412.6,1650.4,56.0,Credit Card,East
2025-01-11 16:00:00,Beauty,7,235.04,1645.28,44.0,Cash,South
2025-01-11 17:00:00,Home & Kitchen,3,185.32,555.96,46.0,Credit Card,North
2025-01-11 18:00:00,Home & Kitchen,5,252.16,1260.8,64.0,Credit Card,North
2025-01-11 19:00:00,Electronics,8,,3326.72,55.0,Credit Card,South
2025-01-11 20:00:00,Home & Kitchen,3,174.25,522.75,37.0,Credit Card,East
2025-01-11 21:00:00,Beauty,4,95.14,380.56,44.0,PayPal,West
2025-01-11 22:00:00,Electronics,9,358.89,3230.01,58.0,Credit Card,North
2025-01-11 23:00:00,Clothing,7,414.73,2903.11,37.0,Cash,North
2025-01-12 00:00:00,Books,1,59.31,59.31,61.0,Cash,East
2025-01-12 01:00:00,Home & Kitchen,4,127.54,510.16,36.0,PayPal,East
2025-01-12 02:00:00,Home & Kitchen,4,79.57,318.28,37.0,PayPal,North
2025-01-12 03:00:00,Home & Kitchen,9,180.49,1624.41,52.0,Cash,East
2025-01-12 04:00:00,Clothing,6,230.67,1384.02,64.0,Credit Card,West
2025-01-12 05:00:00,Electronics,9,376.92,3392.28,19.0,Cash,North
2025-01-12 06:00:00,Books,6,329.06,1974.36,47.0,Cash,West
2025-01-12 07:00:00,Books,6,314.25,1885.5,51.0,Cash,West
2025-01-12 08:00:00,Books,5,182.66,913.3,39.0,PayPal,East
2025-01-12 09:00:00,Beauty,5,422.31,2111.55,20.0,Credit Card,West
2025-01-12 10:00:00,Clothing,2,240.93,481.86,23.0,PayPal,East
2025-01-12 11:00:00,Clothing,8,489.76,3918.08,32.0,Cash,South
2025-01-12 12:00:00,Books,8,320.73,2565.84,44.0,Credit Card,East
2025-01-12 13:00:00,Home & Kitchen,1,71.87,71.87,27.0,Cash,West
2025-01-12 14:00:00,Home & Kitchen,8,341.33,2730.64,26.0,,South
2025-01-12 15:00:00,Books,5,,846.5,50.0,Credit Card,East
2025-01-12 16:00:00,Books,2,346.3,692.6,49.0,Credit Card,West
2025-01-12 17:00:00,Clothing,2,44.12,88.24,65.0,Credit Card,North
2025-01-12 18:00:00,Clothing,6,95.69,574.14,23.0,,North
2025-01-12 19:00:00,Electronics,9,429.31,3863.79,58.0,Credit Card,East
2025-01-12 20:00:00,Home & Kitchen,1,121.32,121.32,53.0,Debit Card,East
2025-01-12 21:00:00,Electronics,6,420.15,2520.9,19.0,PayPal,North
2025-01-12 22:00:00,Clothing,9,146.85,1321.65,46.0,Credit Card,West
2025-01-12 23:00:00,Clothing,8,325.01,2600.08,21.0,PayPal,West
2025-01-13 00:00:00,Electronics,6,350.13,2100.78,18.0,Cash,West
2025-01-13 01:00:00,Home & Kitchen,3,261.2,,36.0,Cash,East
2025-01-13 02:00:00,Electronics,8,159.6,1276.8,43.0,Credit Card,South
2025-01-13 03:00:00,Electronics,9,114.2,1027.8,42.0,Cash,South
2025-01-13 04:00:00,Books,1,26.26,26.26,27.0,Cash,South
2025-01-13 05:00:00,Clothing,9,158.93,1430.37,32.0,Credit Card,South
2025-01-13 06:00:00,Electronics,6,330.05,1980.3,39.0,Credit Card,South
2025-01-13 07:00:00,Clothing,6,469.77,2818.62,,PayPal,East
2025-01-13 08:00:00,Books,4,436.89,1747.56,65.0,Credit Card,East
2025-01-13 09:00:00,Electronics,1,385.37,385.37,38.0,Cash,South
2025-01-13 10:00:00,Home & Kitchen,8,396.34,3170.72,39.0,Credit Card,East
2025-01-13 11:00:00,Electronics,2,335.84,671.68,53.0,Debit Card,East
2025-01-13 12:00:00,Electronics,1,137.54,137.54,51.0,PayPal,South
2025-01-13 13:00:00,Clothing,2,454.53,909.06,47.0,Credit Card,West
2025-01-13 14:00:00,Clothing,1,338.66,338.66,42.0,Credit Card,East
2025-01-13 15:00:00,Home & Kitchen,1,284.62,284.62,62.0,PayPal,West
2025-01-13 16:00:00,Home & Kitchen,9,64.38,579.42,45.0,Cash,East
2025-01-13 17:00:00,Beauty,1,229.06,229.06,18.0,Cash,East
2025-01-13 18:00:00,Clothing,4,235.58,942.32,66.0,Credit Card,South
2025-01-13 19:00:00,Clothing,6,433.64,2601.84,62.0,Credit Card,East
2025-01-13 20:00:00,Books,7,277.86,1945.02,21.0,Credit Card,North
2025-01-13 21:00:00,Electronics,2,196.4,392.8,24.0,PayPal,North
2025-01-13 22:00:00,Clothing,6,488.63,2931.78,66.0,Credit Card,South
2025-01-13 23:00:00,Electronics,7,64.25,449.75,,PayPal,West
2025-01-14 00:00:00,Electronics,2,217.05,434.1,53.0,PayPal,West
2025-01-14 01:00:00,Beauty,2,30.59,61.18,36.0,Debit Card,West
2025-01-14 02:00:00,Books,7,372.55,2607.85,18.0,Credit Card,North
2025-01-14 03:00:00,Home & Kitchen,1,459.86,459.86,27.0,Credit Card,West
2025-01-14 04:00:00,Clothing,8,147.22,1177.76,53.0,PayPal,West
2025-01-14 05:00:00,Electronics,3,430.59,1291.77,26.0,PayPal,South
2025-01-14 06:00:00,Electronics,6,153.19,919.14,62.0,Credit Card,West
2025-01-14 07:00:00,Electronics,9,456.28,4106.52,63.0,Debit Card,North
2025-01-14 08:00:00,Clothing,6,379.44,2276.64,59.0,Cash,North
2025-01-14 09:00:00,Home & Kitchen,9,404.4,3639.6,49.0,Credit Card,North
2025-01-14 10:00:00,Home & Kitchen,7,18.82,131.74,49.0,Credit Card,South
2025-01-14 11:00:00,Electronics,9,481.78,4336.02,23.0,PayPal,South
2025-01-14 12:00:00,Beauty,2,366.07,732.14,65.0,Cash,East
2025-01-14 13:00:00,Home & Kitchen,8,159.33,1274.64,55.0,Credit Card,West
2025-01-14 14:00:00,Home & Kitchen,8,416.4,3331.2,,PayPal,South
2025-01-14 15:00:00,Home & Kitchen,2,,295.9,27.0,PayPal,North
2025-01-14 16:00:00,Clothing,4,437.65,1750.6,67.0,Credit Card,North
2025-01-14 17:00:00,Electronics,7,65.16,456.12,44.0,PayPal,South
2025-01-14 18:00:00,Clothing,4,,1419.24,67.0,Debit Card,South
2025-01-14 19:00:00,Books,4,274.94,1099.76,52.0,Credit Card,South
2025-01-14 20:00:00,Electronics,6,57.3,343.8,69.0,Credit Card,East
2025-01-14 21:00:00,Electronics,6,128.53,771.18,38.0,PayPal,North
2025-01-14 22:00:00,Electronics,3,16.08,48.24,42.0,Cash,East
2025-01-14 23:00:00,Electronics,9,239.7,2157.3,45.0,Debit Card,East
2025-01-15 00:00:00,Books,2,157.62,315.24,64.0,PayPal,West
2025-01-15 01:00:00,Home & Kitchen,6,303.2,1819.2,32.0,Cash,North
2025-01-15 02:00:00,Clothing,7,155.65,1089.55,,PayPal,North
2025-01-15 03:00:00,Electronics,9,156.96,1412.64,46.0,PayPal,South
2025-01-15 04:00:00,Clothing,3,,1122.48,26.0,Credit Card,South
2025-01-15 05:00:00,Clothing,3,33.59,100.77,44.0,Credit Card,West
2025-01-15 06:00:00,Electronics,7,452.42,,43.0,Credit Card,East
2025-01-15 07:00:00,Clothing,4,427.61,1710.44,36.0,PayPal,South
2025-01-15 08:00:00,Clothing,8,337.22,2697.76,45.0,Credit Card,South
2025-01-15 09:00:00,Home & Kitchen,7,,2104.76,34.0,Debit Card,North
2025-01-15 10:00:00,Home & Kitchen,5,447.23,2236.15,60.0,Credit Card,North
2025-01-15 11:00:00,Electronics,7,,705.67,58.0,Credit Card,South
2025-01-15 12:00:00,Clothing,3,48.69,146.07,59.0,PayPal,North
